QueryNumber;QueryText
00001;EFFECTS CALCIUM PHYSICAL PROPERTIES MUCUS CF PATIENTS
00002;ONE DISTINGUISH EFFECTS MUCUS HYPERSECRETION INFECTION SUBMUCOSAL GLANDS RESPIRATORY TRACT CF
00003;SALIVARY GLYCOPROTEINS CF PATIENTS DIFFERENT NORMAL SUBJECTS
00004;LIPID COMPOSITION CF RESPIRATORY SECRETIONS
00005;CF MUCUS ABNORMAL
00006;EFFECT WATER THERAPEUTIC AGENTS PHYSICAL PROPERTIES VISCOSITY ELASTICITY SPUTUM BRONCHIAL SECRETIONS CF PATIENTS
00007;MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY CF PATIENTS COMPARED NORMAL SUBJECTS
00008;HISTOCHEMICAL DIFFERENCES DESCRIBED NORMAL CF RESPIRATORY EPITHELIA
00009;ASSOCIATION LIVER DISEASE CIRRHOSIS VITAMIN METABOLISM CF
00010;ROLE VITAMIN E THERAPY PATIENTS CF
00011;DIFFERENCE MECONIUM ILEUS MECONIUM PLUG SYNDROME
00012;ABNORMALITIES AMINO ACID TRANSPORT DESCRIBED SMALL BOWEL CF PATIENTS
00013;CLINICAL BIOCHEMICAL FEATURES PANCREATITIS CF PATIENTS
00014;NONINVASIVE TESTS PERFORMED EVALUATION EXOCRINE PANCREATIC FUNCTION PATIENTS CF
00015;HEPATIC COMPLICATIONS MANIFESTATIONS CF
00016;GASTROINTESTINAL COMPLICATIONS CF NEONATAL PERIOD EXCLUDE LIVER DISEASE MECONIUM ILEUS
00017;EFFECTIVE REGIMEN USE PANCREATIC ENZYME SUPPLEMENTS TREATMENT CF PATIENTS
00018;DIETARY SUPPLEMENTATION BILE SALTS THERAPEUTIC BENEFIT CF PATIENTS
00019;COMPLICATIONS PANCREATIC ENZYME THERAPY REPORTED CF PATIENTS
00020;EFFECT TREATMENT CF PATIENTS ESSENTIAL FATTY ACID SUPPLEMENTS
00021;PANCREATIC INSUFFICIENCY CF PATIENTS AFFECT ABILITY ABSORB METABOLIZE IRON
00022;FREQUENCY CF NONCAUCASIAN POPULATIONS
00023;CONGENITAL HEREDITARY DISEASES CONDITIONS FOUND ASSOCIATION CF
00024;CHARACTERISTICS PATIENTS CF INCOMPLETELY MANIFESTED
00025;EVIDENCE GENETIC BASIS CF INVOLVES ONE GENE
00026;HETEROZYGOTE ADVANTAGE CF
00027;CONCORDANCE CLINICAL BIOCHEMICAL MANIFESTATIONS CF SIBLING PAIRS CF
00028;INCIDENCE MALE FERTILITY CF
00029;PATHOLOGY REPRODUCTIVE SYSTEM MALE FEMALE CF
00030;RESULTS GENETIC COUNSELING FAMILIES CHILDREN CF
00031;MAJOR PSYCHOLOGICAL SOCIAL EFFECTS CF PATIENTS FAMILIES
00032;FACTORS INFLUENCE COMPLIANCE PRESCRIBED THERAPY CF PATIENTS
00033;CONDITIONS FACTORS LEAD ERRONEOUS SWEAT TESTS
00034;ALTERNATIVE TECHNIQUES CLASSICAL GIBSONCOOKE QUANTITATIVE PILOCARPINE IONTOPHORESIS TEST TITRIMETRIC ANALYSIS CHLORIDE AVAILABLE SWEAT TESTING RELATIVE ADVANTAGES DISADVANTAGES
00035;CF PATIENT FOUND CONSISTENTLY NORMAL SWEAT TESTS
00036;CONCENTRATION POTASSIUM SWEAT CF PATIENTS
00037;TECHNIQUES AVAILABLE SCREENING NEWBORN INFANTS CF FACTORS CONTRIBUTE ERRONEOUS RESULTS TESTS
00038;CF DIAGNOSED PRENATALLY
00039;MAY HETEROZYGOTES CF IDENTIFIED
00040;SWEAT TEST TECHNIQUES MAY USEFUL BEYOND NEONATAL PERIOD DIAGNOSIS CF
00041;VITAMIN METABOLISM NORMAL CF PATIENTS
00042;ABNORMALITIES INSULIN SECRETION INSULIN METABOLISM OCCUR CF PATIENTS
00043;SALT SODIUM ANDOR CHLORIDE TRANSPORTPERMEABILITY ABNORMAL CF
00044;STRUCTURAL ENZYMATIC DIFFERENCES FIBROBLASTS CF PATIENTS NONCF PATIENTS
00045;ABNORMALITIES PROSTAGLANDIN METABOLISM DESCRIBED CF PATIENTS
00046;PROPERTIES ACTIVITY GALACTOSYLTRANSFERASE ENZYMES CF PATIENTS
00047;DIFFERENCES NORMAL SUBJECTS CF PATIENTS DESCRIBED FUNCTION METABOLISM HORMONES
00048;FIBROBLASTS CF PATIENTS GROW NORMAL RATE
00049;RNA METHYLATION POLYAMINE METABOLISM NORMAL CF PATIENTS
00050;DEFECTS SYNTHESIS METABOLISM CYCLIC NUCLEOTIDES DESCRIBED CF PATIENTS
00051;CIRCULATING SECRETED FACTORS DESCRIBED CF PATIENTS FACTORS UNIDENTIFIED BIOLOGICALLY ACTIVE MOLECULES THOUGHT PLAY PATHOGENETIC ROLE CYSTIC FIBROSIS
00052;KNOWN PROLACTIN CF PATIENTS
00053;SECRETORY IGA PROTECT CF PATIENTS BACTERIAL COLONIZATION INFECTION
00054;RELATIONSHIP ALLERGY HYPERSENSITIVITY LUNG DISEASE CF PATIENTS
00055;INTERACTIONS PROTEASES ENDOGENOUS BACTERIAL ORIGIN ANTIPROTEASES LUNGS CF PATIENTS
00056;RELATIONSHIP NUTRITION PULMONARY HOST DEFENSES BACTERIAL INFECTION CF PATIENTS
00057;PATHOPHYSIOLOGIC ROLE CIRCULATING ANTIBODIES PSEUDOMONAS AERUGINOSA CF PATIENTS
00058;IMMUNOLOGIC RESPONSE PULMONARY INFECTION CF PATIENTS
00059;IMMUNOLOGIC ABNORMALITIES FOUND CF PATIENTS
00060;EFFECTS CF PULMONARY CIRCULATION
00061;DEFECT MUCOCILIARY TRANSPORT CLEARANCE RESPIRATORY TRACT CF PATIENTS
00062;CLINICAL FEATURES LUNG DISEASE CF PATIENTS
00063;BIOCHEMICAL MICROSCOPIC CHARACTERISTICS AIRWAY INFLAMMATION CF PATIENTS
00064;LUNG FUNCTION CHANGE TIME CF PATIENTS TIME PERIODS GREATER DAY
00065;ABNORMALITIES PULMONARY FUNCTION CF PATIENTS
00066;PATHOLOGIC FEATURES LUNG DISEASE CF PATIENTS
00067;PROGNOSIS PATIENTS EPISODE RESPIRATORY FAILURE
00068;EFFECTS BRONCHODILATORS CF PATIENTS
00069;BEST WAY TREAT PNEUMOTHORAX CF PATIENTS
00070;TREATMENT PROGNOSIS HEMOPTYSIS CF PATIENTS
00071;PROGNOSIS INFANTS WHEEZING CYSTIC FIBROSIS
00072;BEST TREATMENT NASAL POLYPS CF PATIENTS
00073;EFFECTIVE BRONCHIAL LAVAGE CF PATIENTS
00074;RESULTS MECHANICAL VENTILATION CF PATIENTS RESPIRATORY FAILURE
00075;BEST TREATMENT PULMONARY HYPERTENSION ANDOR COR PULMONALE CF PATIENTS
00076;EFFECTS EXERCISE TRAINING PROGRAMS LUNG FUNCTION CF PATIENTS
00077;TECHNIQUES EFFECTIVE PROMOTING CLEARANCE MUCUS LUNGS CF PATIENTS
00078;SPECIAL CONSIDERATIONS TREATMENT CF PATIENTS ANTIBIOTICS IE PHARMACODYNAMICS ANTIBIOTICS DIFFERENT CF PATIENTS SPECIAL PROBLEMS PECULIAR CF
00079;ROLE ORALLY ADMINISTERED ANTIBIOTICS TREATMENT CF PATIENTS
00080;EVIDENCE COMBINATION THERAPY AMINOGLYCOSIDES SEMISYNTHETIC PENICILLINS EFFECTIVE THERAPY EITHER ALONE
00081;EFFECTIVE INHALATIONS MUCOLYTIC AGENTS TREATMENT CF PATIENTS
00082;ROLE AEROSOLS TREATMENT LUNG DISEASE CF PATIENTS
00083;ROLE BACTERIAL PHAGOCYTOSIS ALVEOLAR MACROPHAGES POLYMORPHONUCLEAR LEUKOCYTES LUNG DISEASE CF PATIENTS
00084;RELATIONSHIP HAEMOPHILUS INFLUENZAE PSEUDOMONAS AERUGINOSA CF PATIENTS
00085;CF PATIENTS EVER DEVELOP INFECTION ORGANS LUNG ORGANS
00086;ROLE BACTERIA PSEUDOMONAS AERUGINOSA STAPHYLOCOCCUS AUREUS HAEMOPHILUS INFLUENZAE PATHOGENESIS LUNG DISEASE CF PATIENTS
00087;ROLE FUNGI PATHOGENESIS LUNG DISEASE CF PATIENTS
00088;ROLE VIRAL INFECTION LUNG DISEASE CF PATIENTS
00089;EPIDEMIOLOGY PSEUDOMONAS AERUGINOSA CF PATIENTS SPECIFICALLY CF PATIENTS SPREAD PSEUDOMONAS AERUGINOSA PATIENTS INDIVIDUALS FAMILY
